exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type
DCE,lg2507,766.0,758.5,768.0,752.5,1458028530.0,21347,28140,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lg2509,785.0,777.0,788.5,770.0,389436255.0,5574,9720,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lg2511,792.0,784.5,792.0,777.5,31281210.0,444,1158,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lg2601,804.0,801.5,805.5,796.5,4031820.0,56,134,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lg2603,803.0,806.5,806.5,801.0,722340.0,10,14,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lg2605,802.0,802.0,802.0,802.0,72180.0,1,1,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lh2507,13200.0,13255.0,13260.0,13165.0,738153200.0,3493,16577,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lh2509,13500.0,13490.0,13520.0,13390.0,5407132320.0,25112,78586,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lh2511,13290.0,13325.0,13345.0,13230.0,1179936480.0,5550,37250,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lh2601,13700.0,13700.0,13760.0,13620.0,780930480.0,3566,14753,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lh2603,12840.0,12820.0,12870.0,12785.0,240562160.0,1173,15747,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,lh2605,13010.0,12955.0,13010.0,12930.0,135120160.0,651,2139,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2507,2774.0,2765.0,2779.0,2752.0,3029332090.0,109477,371202,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2508,2926.0,2924.0,2934.0,2911.0,438618810.0,15011,196362,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2509,2938.0,2939.0,2948.0,2925.0,27288481270.0,928744,2224255,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2511,2978.0,2978.0,2987.0,2964.0,1782517960.0,59867,466331,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2512,3004.0,3003.0,3014.0,2995.0,173027100.0,5760,91659,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2601,2985.0,2984.0,2996.0,2976.0,4459880670.0,149351,724410,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2603,2845.0,2843.0,2849.0,2838.0,343194700.0,12068,170388,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,m2605,2697.0,2695.0,2702.0,2692.0,638958660.0,23693,210606,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2507,8340.0,8294.0,8354.0,8256.0,390873660.0,4713,10663,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2508,8268.0,8212.0,8274.0,8180.0,77068660.0,937,1733,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2509,8190.0,8130.0,8210.0,8102.0,53520915680.0,656196,432781,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2510,8128.0,8084.0,8150.0,8058.0,6338260.0,78,946,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2511,8132.0,8066.0,8132.0,8038.0,18448280.0,228,864,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2512,8130.0,8078.0,8132.0,8054.0,12146780.0,150,486,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2601,8152.0,8086.0,8158.0,8064.0,2351093920.0,29001,100583,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2602,8100.0,8076.0,8100.0,8050.0,1211120.0,15,925,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2603,8084.0,8060.0,8102.0,8030.0,4112800.0,51,252,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2604,8018.0,8036.0,8036.0,7998.0,480880.0,6,71,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,p2605,7988.0,7976.0,8000.0,7948.0,12840660.0,161,603,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2506,4230.0,4220.0,4262.0,4128.0,45562580.0,539,2352,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2507,4081.0,4088.0,4095.0,4039.0,5082464800.0,62426,64072,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2508,3981.0,3994.0,3999.0,3951.0,732903700.0,9208,38131,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2509,3916.0,3921.0,3928.0,3880.0,503656920.0,6446,24348,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2510,4271.0,4284.0,4291.0,4242.0,132911720.0,1556,10235,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2511,4179.0,4209.0,4218.0,4179.0,17226440.0,205,784,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2512,4109.0,4136.0,4142.0,4109.0,1156060.0,14,476,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2601,4045.0,4070.0,4070.0,4045.0,4059200.0,50,621,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2602,3999.0,3999.0,3999.0,3999.0,80020.0,1,97,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pg2603,3904.0,3927.0,3930.0,3904.0,1332180.0,17,458,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2506,6950.0,6994.0,7000.0,6938.0,6979915.0,200,2586,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2507,6922.0,6971.0,6974.0,6914.0,335572970.0,9667,13992,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2508,6890.0,6951.0,6955.0,6889.0,222097355.0,6417,23406,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2509,6876.0,6948.0,6953.0,6876.0,10252930585.0,296705,513164,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2510,6867.0,6927.0,6930.0,6865.0,200434015.0,5813,17801,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2511,6865.0,6921.0,6923.0,6863.0,50703920.0,1469,2623,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2512,6860.0,6900.0,6900.0,6854.0,926755.0,27,101,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2601,6822.0,6887.0,6887.0,6814.0,902451815.0,26359,80356,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2602,6807.0,6856.0,6871.0,6805.0,1434795.0,42,123,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2603,6808.0,6823.0,6852.0,6806.0,648600.0,19,53,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2604,6851.0,6838.0,6866.0,6838.0,376970.0,11,55,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,pp2605,6837.0,6880.0,6880.0,6835.0,3811610.0,111,605,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2507,3626.0,3632.0,3639.0,3621.0,48940060.0,1348,6645,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2508,3622.0,3629.0,3639.0,3622.0,35133560.0,968,4751,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2509,3643.0,3650.0,3656.0,3637.0,27577130.0,756,2634,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2510,3625.0,3631.0,3632.0,3622.0,1160420.0,32,194,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2512,3624.0,3629.0,3639.0,3623.0,290320.0,8,90,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2601,3617.0,3621.0,3633.0,3605.0,1193740.0,33,187,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2602,3618.0,3626.0,3626.0,3618.0,325710.0,9,140,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2603,3625.0,3625.0,3625.0,3625.0,36250.0,1,35,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,rr2604,3640.0,3643.0,3643.0,3640.0,72830.0,2,26,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2506,4666.0,4747.0,4753.0,4650.0,6651060.0,284,8623,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2507,4686.0,4778.0,4792.0,4675.0,435844235.0,18408,19582,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2508,4713.0,4809.0,4822.0,4709.0,52613835.0,2208,5329,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2509,4731.0,4834.0,4849.0,4731.0,31091945205.0,1300611,986723,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2510,4756.0,4853.0,4865.0,4750.0,25119680.0,1051,2828,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2511,4757.0,4850.0,4864.0,4750.0,5940485.0,247,1010,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2512,4754.0,4860.0,4863.0,4753.0,5080895.0,211,2035,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2601,4770.0,4871.0,4885.0,4756.0,2162571330.0,89794,178876,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2602,4788.0,4892.0,4896.0,4788.0,2572595.0,106,1419,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2603,4825.0,4907.0,4923.0,4825.0,1243900.0,51,1050,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2604,4892.0,4998.0,5012.0,4892.0,1735355.0,70,379,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,v2605,4905.0,5001.0,5015.0,4894.0,21951375.0,886,1163,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2507,7756.0,7754.0,7772.0,7726.0,338294600.0,4366,33286,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
